ID;nom;x;y;nom;iniciAne;fiAne
321;Can Grau Xic;442572;4612608;prehistòric;5500;550
322;Bòbila de Pau Pedró;441080;4609514;bronze inicial;2300;1300
324;Turó de 40 Pins;442664;4606766;bronze final-primer ferro;1300;550
325;Carrer Sanra Digna 22 (PARCEL·LA 31);441660;4612988;calcolític;3300;2300
326;Pla del Serrador/Rodna Nord de Granollers;441927;4608282;neolític antic epicardial;5000;4400
326;Pla del Serrador/Rodna Nord de Granollers;441927;4608282;bronze inicial;2300;1300
326;Pla del Serrador/Rodna Nord de Granollers;441927;4608282;primer ferro;750;550
327;Carrer Santa Digna 33_35_37_39_41;441778;4613132;bronze final;1300;750
328;Can Palau II;440600;4599700;calcolític;2800;2250
329;Can Rabassa;441700;4599200;prehistòric;5500;550
330;Santa Quitèria;442400;4600900;prehistòric;5500;550
331;Serreta de Santa Quitèria;442350;4601000;prehistòric;5500;550
332;Turó de Can Nadal;443500;4599950;prehistòric;5500;550
333;Can Tomàs;442400;4601650;prehistòric;5500;550
334;Roca Foradada de Can Gol;443170;4601760;calcolític;3300;2300
335;Can Rodes;442000;4600350;bronze final;1300;750
336;Can Gafa I;436963;4611237;bronze final;1300;750
337;El Rieral;436123;4609514;prehistòric;5500;550
338;Avellaners de Can Just;436861;4611870;neolític final;3300;2300
339;Turó de Can Pa i Aigua;433983;4609493;bronze final;1300;750
340;Can Just;436563;4611824;neolític final;3300;2300
341;La Sorrera;436492;4611545;bronze inicial;2300;1300
342;Les Peces d'en Nota;437190;4610166;prehistòric;5500;550
343;Can Burguès;436439;4610274;bronze inicial;2300;1300
344;Can Maspons II;434319;4610375;calcolític;3300;2300
345;Can Vilardebó;435891;4605177;prehistòric;5500;550
346;Bòbila dén Joca;439056;4599383;neolític mitjà;4000;3300
347;Bòbila de Can Torrents;439133;4599383;neolític mitjà;4000;3300
348;Pla de Can Vilaró;439730;4600697;prehistòric;5500;550
349;Serra de l'Arca I;439629;4626534;calcolític;3300;2300
350;Serra de l'Arca II;439545;4626081;calcolític;3300;2300
351;Dolmen de Cruïlles;438680;4625880;calcolític;3300;2300
352;Sant Miquel de Canyelles;440745;4626445;neolític final;3300;2300
353;La Madella;432813;4617575;neolític mitjà;4000;3300
354;El Margarit;433848;4615629;neolític mitjà;4000;3300
355;Can Lledó;434147;4613181;neolític mitjà;4000;3300
356;Rectoria de Riells;433415;4616861;neolític mitjà;4000;3300
357;Puig de Can Nou;435826;4614480;neolític mitjà;4000;3300
357;Puig de Can Nou;435826;4614480;bronze final-primer ferro;1300;550
358;Les Madrigueres;433301;4614251;calcolític;3300;2300
359;Al N.E. de Can Riera;436345;4615503;prehistòric;5500;550
360;Casa nova del Verdaguer;428674;4626481;calcolític;3300;2300
361;Verdaguer;428824;4626366;indeterminat;5500;550
362;La Clusella;421673;4624390;calcolític;3300;2300
363;Bosc de Can Verdaguer;428681;4626264;prehistòric;5500;550
364;Gavatx;426022;4621894;calcolític;3300;2300
365;Mas Clamí;424850;4623970;calcolític;3300;2300
366;Criac II;424760;4622366;calcolític;3300;2300
367;Criac I;424750;4622343;calcolític;3300;2300
368;El Casuc;427206;4622322;calcolític;3300;2300
369;Casa Vilanova;423797;4623402;prehistòric;5500;550
371;Estela de la Calma;444990;4623620;prehistòric;5500;550
372;La pedra serrada;435553;4602246;bronze final;1300;750
373;Pedra Mirona;457778;4615183;calcolític;3300;2300
374;Puig Castell;459433;4612303;primer ferro;750;550
374;Puig Castell;459433;4612303;prehistòric;5500;550
375;Abric vernet-oliveres;431300;4616066;neolític final;3300;2300
375;Abric vernet-oliveres;431300;4616066;bronze inicial;2300;1300
375;Abric vernet-oliveres;431300;4616066;bronze final;1300;750
375;Abric vernet-oliveres;431300;4616066;prehistòric;5500;550
376;Can Torres;435426;4595484;prehistòric;5500;550
377;Balma de l'Espluga;430273;4620489;neolític antic postcardial/ neolític antic evolucionat;4400;4000
378;Pla de Camprodon;443629;4625904;prehistòric;5500;550
379;Pedra Gentil;457444;4611572;calcolític;3300;2300
380;El Trull;457399;4609828;calcolític;3300;2300
381;Turó del Roca;457667;4609514;prehistòric;5500;550
382;Menhir de Collsacreu;461239;4609651;neolític final;3300;2300
383;Coll de Clau;442322;4596311;prehistòric;5500;550
384;Urbanització Can Palau;440700;4599100;prehistòric;5500;550
385;Can Gurri;440068;4596563;calcolític;3300;2300
386;Cal Cabrit;442562;4598384;prehistòric;5500;550
387;Colldeforns;443521;4597588;prehistòric;5500;550
388;Roca Foradada;442592;4598453;calcolític;3300;2300
389;Poblat ibèric de Castellruf;438893;4596305;primer ferro;750;550
390;Can Gambús 3;423681;4599837;neolític final;3300;2300
390;Can Gambús 3;423681;4599837;bronze inicial;2300;1300
390;Can Gambús 3;423681;4599837;bronze final;1300;750
390;Can Gambús 3;423681;4599837;primer ferro;750;550
